route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
806,RINFRA-801-1_Weekday-30,47114596,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-30,47114597,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-30,47114598,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-30,47114599,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-30,47114600,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-30,47114601,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-30,47114602,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-30,47114603,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-30,47114604,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-30,47114605,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-30,47114606,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-30,47114607,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-30,47114608,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-30,47114609,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-30,47114610,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-30,47114611,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-30,47114612,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-30,47114613,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-30,47114614,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-30,47114615,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-30,47114616,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-30,47114617,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-30,47114618,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-30,47114619,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-30,47114620,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-30,47114621,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-30,47114622,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-30,47114623,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-30,47114624,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-30,47114625,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-30,47114626,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-30,47114627,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-30,47114628,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-30,47114629,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-30,47114630,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-30,47114631,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-30,47114632,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-30,47114633,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-30,47114634,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-30,47114635,,1,663,806SB_160306
806,RINFRA-801-1_Weekday-30,47114636,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-30,47114637,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-30,47114638,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-30,47114639,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-30,47114640,,1,672,806SB_160306
801,RINFRA-801-1_Weekday-30,47114641,,1,106,801SB_120323
806,RINFRA-801-1_Weekday-30,47114642,,0,655,806NB_160306
801,RINFRA-801-1_Weekday-30,47114643,,1,105,801SB_120323
806,RINFRA-801-1_Weekday-30,47114644,,0,654,806NB_160306
801,RINFRA-801-1_Weekday-30,47114645,,0,101,801NB_120323
806,RINFRA-801-1_Weekday-30,47114646,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-30,47114647,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-30,47114648,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-30,47114649,,0,667,806NB_160306
801,RINFRA-801-1_Weekday-30,47114650,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-30,47114651,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114652,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-30,47114653,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114654,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114655,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114656,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114657,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-30,47114658,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114659,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-30,47114660,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-30,47114661,,0,118,801NB_120323
801,RINFRA-801-1_Weekday-30,47114662,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114663,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-30,47114664,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114665,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114666,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114667,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114668,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114669,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-30,47114670,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-30,47114671,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114672,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-30,47114673,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-30,47114674,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-30,47114675,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114676,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-30,47114677,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114678,,1,118,801SB_120323
801,RINFRA-801-1_Weekday-30,47114679,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114680,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-30,47114681,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114682,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114683,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114684,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-30,47114685,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114686,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-30,47114687,,1,103,801SB_120323
