time,seconds_since_report,run_id,longitude,heading,route_id,predictable,latitude,id
2018-09-19 11:20:01.663439-07:00,7,806_1_var1,-118.407585,180.0,806,True,34.029696,655
2018-09-19 11:20:01.663439-07:00,10,802_0_var0,-118.349725,90.0,802,True,34.105976,204
2018-09-19 11:20:01.663439-07:00,39,804_1_var0,-118.192258,180.0,804,True,34.0355739,406
2018-09-19 11:20:01.663439-07:00,16,801_1_var0,-118.243366,180.0,801,True,33.9816689,105
2018-09-19 11:20:01.663439-07:00,278,806_0_var0,-118.469108,0.0,806,True,34.028021,604
2018-09-19 11:20:01.663439-07:00,10,805_0_var0,-118.251259,90.0,805,True,34.049316,203
2018-09-19 11:20:01.663439-07:00,10,802_1_var0,-118.263768,270.0,802,True,34.05158,209
2018-09-19 11:20:01.663439-07:00,7,804_1_var0,-118.039876,180.0,804,True,34.148745,401
2018-09-19 11:20:01.663439-07:00,27,801_1_var0,-118.253905,180.0,801,True,34.026029,104
2018-09-19 11:20:01.663439-07:00,14,803_0_var0,-118.31857,90.0,803,True,33.925464,331
2018-09-19 11:20:01.663439-07:00,7,806_1_var1,-118.285734,180.0,806,True,34.018227,656
2018-09-19 11:20:01.663439-07:00,70,805_0_var0,-118.309571,270.0,805,True,34.061681,202
2018-09-19 11:20:01.663439-07:00,10,802_0_var0,-118.246056,90.0,802,True,34.054899,210
2018-09-19 11:20:01.663439-07:00,39,801_1_var0,-118.258767,0.0,801,True,34.048667,106
2018-09-19 11:20:01.663439-07:00,39,804_1_var0,-118.23584,180.0,804,True,34.063861,407
2018-09-19 11:20:01.663439-07:00,7,804_0_var0,-117.904907,0.0,804,True,34.136373,452
2018-09-19 11:20:01.663439-07:00,113,802_0_var0,-118.376808,270.0,802,True,34.168504,201
2018-09-19 11:20:01.663439-07:00,26,804_0_var0,-118.211701,0.0,804,True,34.044427,404
2018-09-19 11:20:01.663439-07:00,47,801_1_var0,-118.189355,180.0,801,True,33.788038,107
2018-09-19 11:20:01.663439-07:00,16,806_0_var0,-118.403289,0.0,806,True,34.029281,603
2018-09-19 11:20:01.663439-07:00,58,804_0_var0,-118.148183,0.0,804,True,34.140548,453
2018-09-19 11:20:01.663439-07:00,175,801_1_var0,-118.189292,180.0,801,True,33.790072,101
2018-09-19 11:20:01.663439-07:00,16,804_0_var0,-118.029333,0.0,804,True,34.142982,402
2018-09-19 11:20:01.663439-07:00,53,803_1_var0,-118.202176,270.0,803,True,33.9214849,334
2018-09-19 11:20:01.663439-07:00,77,801_0_var0,-118.192926,0.0,801,True,33.768003,108
2018-09-19 11:20:01.663439-07:00,47,801_0_var0,-118.189292,0.0,801,True,33.790072,111
2018-09-19 11:20:01.663439-07:00,16,806_0_var0,-118.279633,0.0,806,True,34.019871,602
2018-09-19 11:20:01.663439-07:00,169,804_0_var0,-118.154466,180.0,804,True,34.033395,405
2018-09-19 11:20:01.663439-07:00,39,804_1_var0,-117.933165,180.0,804,True,34.128987,451
2018-09-19 11:20:01.663439-07:00,14,803_0_var0,-118.202042,90.0,803,True,33.92143,336
2018-09-19 11:20:01.663439-07:00,31,802_0_var0,-118.291686,90.0,802,True,34.076526,207
2018-09-19 11:20:01.663439-07:00,39,801_0_var0,-118.243351,0.0,801,True,33.989059,109
2018-09-19 11:20:01.663439-07:00,58,806_1_var1,-118.265869,180.0,806,True,34.040995,601
2018-09-19 11:20:01.663439-07:00,188,801_0_var0,-118.252799,0.0,801,True,34.025492,103
2018-09-19 11:20:01.663439-07:00,16,804_0_var0,-118.197602,0.0,804,True,34.108683,403
2018-09-19 11:20:01.663439-07:00,7,806_1_var1,-118.437491,180.0,806,True,34.034875,654
2018-09-19 11:20:01.663439-07:00,154,805_1_var0,-118.234249,90.0,805,True,34.056198,206
2018-09-19 11:20:01.663439-07:00,66,804_0_var0,-118.23442,0.0,804,True,34.057452,454
2018-09-19 11:20:01.663439-07:00,10,802_1_var0,-118.292274,270.0,802,True,34.101519,205
2018-09-19 11:20:01.663439-07:00,7,804_1_var0,-118.204462,180.0,804,True,34.104021,408
2018-09-19 11:20:01.663439-07:00,34,803_1_var0,-118.336153,270.0,803,True,33.925263,333
2018-09-19 11:20:01.663439-07:00,7,804_1_var0,-118.135717,180.0,804,True,34.151833,409
2018-09-19 11:20:01.663439-07:00,7,801_0_var0,-118.224403,0.0,801,True,33.900523,110
2018-09-19 11:20:01.663439-07:00,7,801_1_var0,-118.238422,180.0,801,True,33.92963,102
2018-09-19 11:21:01.838363-07:00,20,806_1_var1,-118.39699,180.0,806,True,34.028697,655
2018-09-19 11:21:01.838363-07:00,191,806_0_var0,-118.491688,180.0,806,True,34.013725,653
2018-09-19 11:21:01.838363-07:00,15,802_0_var0,-118.362699,90.0,802,True,34.140002,204
2018-09-19 11:21:01.838363-07:00,11,804_1_var0,-118.209999,180.0,804,True,34.043807,406
2018-09-19 11:21:01.838363-07:00,20,801_1_var0,-118.243423,180.0,801,True,33.998942,105
2018-09-19 11:21:01.838363-07:00,140,806_0_var0,-118.469108,0.0,806,True,34.028021,604
2018-09-19 11:21:01.838363-07:00,15,805_0_var0,-118.268898,90.0,805,True,34.053776,203
2018-09-19 11:21:01.838363-07:00,34,802_1_var0,-118.251259,270.0,802,True,34.049316,209
2018-09-19 11:21:01.838363-07:00,11,804_1_var0,-118.011205,180.0,804,True,34.13529,401
2018-09-19 11:21:01.838363-07:00,30,801_1_var0,-118.266014,180.0,801,True,34.031664,104
2018-09-19 11:21:01.838363-07:00,15,803_0_var0,-118.336937,90.0,803,True,33.925508,331
