datetime,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,line_id,station_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name,hrs,datetime
2018-08-29 11:00:00,46306687,11:00:00,11:00:00,80212,12,802 - Union Station / Downtown LA,0,0,802,12,80212,Pershing Square Station,,34.049316,-118.251259,,0,80212S,Persh Sq,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46523807,11:00:00,11:00:00,80130,10,806 - 7th Street / Metro Center Station,0,0,801,30,80130,Expo / La Brea / Ethel Bradley Station,,34.024803000000006,-118.35515900000001,,0,80130S,Ex/LBrea,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46318886,11:00:00,11:00:00,80414,14,804 - Atlantic Station,0,0,804,14,80414,Highland Park Station,,34.111179,-118.19260600000001,,0,80414S,Highl Pk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46324306,11:00:00,11:00:00,80304,4,803 - Norwalk Station,0,0,803,04,80304,Mariposa Station,,33.9232,-118.38757199999999,,0,80304S,Mariposa,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46322588,11:00:00,11:00:00,80311,11,803 - Norwalk Station,0,0,803,11,80311,Willowbrook - Rosa Parks Station - Metro Green Line,,33.928258,-118.238052,,0,80112S,Willwbrk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46373239,11:00:00,11:00:00,80210,5,805 - Wilshire / Western Station,0,0,802,10,80210,Westlake / MacArthur Park Station,,34.056368,-118.274879,,0,80210S,Westlake,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46524642,11:00:00,11:00:00,80120,18,801 - 7th Street / Metro Center Station,0,0,801,20,80120,Grand / LATTC Station,,34.033155,-118.269333,,0,80120S,Grand/LATTC,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46318961,11:00:00,11:00:00,80409,19,804 - Atlantic Station,0,0,804,09,80409,Union Station - Metro Gold Line,,34.056061,-118.23475900000001,,0,80214S,UnionSta,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46284264,11:00:00,11:00:00,80214,1,802 - North Hollywood Station,0,0,802,14,80214,Union Station - Metro Red & Purple Lines,,34.056197,-118.234249,,0,80214S,UnionSta,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46373162,11:00:00,11:00:00,80207,8,802 - North Hollywood Station,0,0,802,07,80207,Vermont / Santa Monica Station,,34.089909999999996,-118.29173,,0,80207S,Ver/SaMo,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46292762,11:00:00,11:00:00,80215,2,805 - Union Station / Downtown LA,0,0,802,15,80215,Wilshire / Normandie Station,,34.061753,-118.30145800000001,,0,80215S,Wil/Norm,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46308084,11:00:00,11:00:00,80423,5,804 - Atlantic Station,0,0,804,23,80423,Monrovia Station,,34.133155,-118.003473,,0,80423S,Monrovia,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46520408,11:00:00,11:00:00,80125,15,806 - 7th Street / Metro Center Station,0,0,801,25,80125,Expo Park / USC Station,,34.018227,-118.285734,,0,80125S,Expo Pk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46282653,11:00:00,11:00:00,80210,5,805 - Wilshire / Western Station,0,0,802,10,80210,Westlake / MacArthur Park Station,,34.056368,-118.274879,,0,80210S,Westlake,11,2018-08-29 11:00:00
