id,report_date,report_time,vehicle_id,lat,lon,direction
110,08/29/18,11:29:37,452,34.128987,-117.933165,180
111,08/29/18,11:29:55,404,34.05765,-118.234317,0
112,08/29/18,11:29:55,402,34.130966,-117.922589,0
113,08/29/18,11:29:55,405,34.03332,-118.183483,0
114,08/29/18,11:28:55,451,34.148826,-118.053351,180
115,08/29/18,11:28:45,403,34.140548,-118.148183,0
116,08/29/18,11:28:55,454,34.108683,-118.197602,0
117,08/29/18,11:29:37,408,34.053178,-118.237752,180
118,08/29/18,11:29:04,409,34.108683,-118.197602,180
119,08/29/18,11:32:38,406,34.03335,-118.162183,0
120,08/29/18,11:32:38,401,34.1512,-118.1461,180
121,08/29/18,11:32:57,407,34.03332,-118.183483,180
122,08/29/18,11:32:46,452,34.132544,-117.968079,180
123,08/29/18,11:32:57,404,34.070755,-118.228575,0
124,08/29/18,11:32:46,402,34.136857,-117.891613,0
125,08/29/18,11:32:38,405,34.0355739,-118.192258,0
126,08/29/18,11:32:46,451,34.149532,-118.087822,180
127,08/29/18,11:30:26,403,34.140317,-118.14815,0
128,08/29/18,11:32:57,454,34.1120329,-118.169531,0
129,08/29/18,11:31:56,408,34.047861,-118.229378,180
130,08/29/18,11:32:57,409,34.095975,-118.209138,180
131,08/29/18,11:35:46,406,34.033319,-118.168064,0
132,08/29/18,11:35:46,401,34.139816,-118.148139,180
133,08/29/18,11:35:37,407,34.033352,-118.163801,180
134,08/29/18,11:35:00,452,34.132444,-117.988407,180
135,08/29/18,11:35:46,404,34.083327,-118.217277,0
136,08/29/18,11:33:05,402,34.136919,-117.891003,0
137,08/29/18,11:35:16,405,34.044427,-118.211701,0
138,08/29/18,11:35:46,451,34.152246,-118.122824,180
139,08/29/18,11:34:46,403,34.152417,-118.114348,0
140,08/29/18,11:35:41,454,34.119903,-118.151627,0
141,08/29/18,11:35:41,408,34.046044,-118.216283,180
142,08/29/18,11:35:16,409,34.084084,-118.216459,180
143,08/29/18,11:38:47,406,34.033386,-118.180208,0
144,08/29/18,11:38:47,401,34.119956,-118.151605,180
145,08/29/18,11:37:51,407,34.033368,-118.160931,180
146,08/29/18,11:38:47,452,34.13529,-118.011205,180
147,08/29/18,11:38:56,404,34.094269,-118.210615,0
148,08/29/18,11:38:56,402,34.136014,-117.906198,180
149,08/29/18,11:38:56,405,34.047634,-118.22594,0
150,08/29/18,11:38:28,451,34.151833,-118.135717,180
151,08/29/18,11:38:47,403,34.147842,-118.080033,0
152,08/29/18,11:38:56,454,34.133676,-118.148126,0
153,08/29/18,11:38:56,408,34.0355739,-118.192258,180
154,08/29/18,11:38:28,409,34.063861,-118.23584,180
155,08/29/18,11:41:58,406,34.0355739,-118.192258,0
156,08/29/18,11:41:58,401,34.1101669,-118.178456,180
157,08/29/18,11:41:39,407,34.033395,-118.154466,180
158,08/29/18,11:41:29,452,34.148745,-118.039876,180
159,08/29/18,11:41:58,404,34.108683,-118.197602,0
160,08/29/18,11:41:39,402,34.128987,-117.933165,180
161,08/29/18,11:41:58,405,34.048083,-118.231104,0
162,08/29/18,11:41:58,451,34.139816,-118.148139,180
163,08/29/18,11:41:39,403,34.148745,-118.039876,0
164,08/29/18,11:41:58,454,34.140317,-118.14815,0
165,08/29/18,11:41:58,408,34.033386,-118.180208,180
166,08/29/18,11:41:50,409,34.055405,-118.234902,180
167,08/29/18,11:44:11,406,34.044427,-118.211701,0
168,08/29/18,11:44:19,401,34.108683,-118.197602,180
169,08/29/18,11:44:32,407,34.033418,-118.155782,0
170,08/29/18,11:44:57,452,34.147732,-118.08192,180
171,08/29/18,11:44:57,404,34.112137,-118.188744,0
172,08/29/18,11:44:40,402,34.132544,-117.968079,180
173,08/29/18,11:44:57,405,34.053441,-118.235998,0
174,08/29/18,11:44:57,451,34.119956,-118.151605,180
175,08/29/18,11:44:40,403,34.13529,-118.011205,0
176,08/29/18,11:43:22,454,34.1512,-118.1461,0
177,08/29/18,11:44:57,408,34.03335,-118.162183,180
178,08/29/18,11:44:57,409,34.0483,-118.232583,180
179,08/29/18,11:47:52,406,34.047772,-118.227849,0
180,08/29/18,11:47:44,401,34.098552,-118.206192,180
181,08/29/18,11:47:31,407,34.03335,-118.162183,0
182,08/29/18,11:47:21,452,34.152417,-118.114348,180
183,08/29/18,11:47:31,404,34.115151,-118.157899,0
184,08/29/18,11:46:50,402,34.132444,-117.988407,180
185,08/29/18,11:47:44,405,34.06118,-118.235,0
186,08/29/18,11:47:52,451,34.109958,-118.180223,180
187,08/29/18,11:47:44,403,34.132468,-117.979571,0
188,08/29/18,11:46:41,454,34.152417,-118.114348,0
189,08/29/18,11:47:52,408,34.033406,-118.155974,180
190,08/29/18,11:47:52,409,34.047232,-118.219914,180
191,08/29/18,11:50:52,406,34.047772,-118.227849,0
192,08/29/18,11:50:44,401,34.098552,-118.206192,180
193,08/29/18,11:50:31,407,34.03335,-118.162183,0
194,08/29/18,11:50:21,452,34.152417,-118.114348,180
195,08/29/18,11:50:31,404,34.115151,-118.157899,0
196,08/29/18,11:49:50,402,34.132444,-117.988407,180
197,08/29/18,11:50:44,405,34.06118,-118.235,0
198,08/29/18,11:50:52,451,34.109958,-118.180223,180
199,08/29/18,11:50:44,403,34.132468,-117.979571,0
200,08/29/18,11:49:41,454,34.152417,-118.114348,0
201,08/29/18,11:50:52,408,34.033406,-118.155974,180
202,08/29/18,11:50:52,409,34.047232,-118.219914,180
203,08/29/18,11:53:55,406,34.053441,-118.235998,0
204,08/29/18,11:53:44,401,34.068632,-118.233044,180
205,08/29/18,11:53:15,407,34.034751,-118.192189,0
206,08/29/18,11:53:44,452,34.140317,-118.14815,180
207,08/29/18,11:53:55,404,34.140317,-118.14815,0
208,08/29/18,11:53:55,402,34.148826,-118.053351,180
209,08/29/18,11:53:55,405,34.087263,-118.213191,0
210,08/29/18,11:53:55,451,34.094269,-118.210615,180
211,08/29/18,11:53:55,403,34.133664,-117.913735,0
212,08/29/18,11:53:44,454,34.148745,-118.039876,0
213,08/29/18,11:53:55,409,34.03326,-118.191311,180
214,08/29/18,11:56:47,406,34.06118,-118.235,0
215,08/29/18,11:56:55,401,34.057452,-118.23442,180
216,08/29/18,11:56:36,407,34.044427,-118.211701,0
217,08/29/18,11:56:55,452,34.120945,-118.150918,180
218,08/29/18,11:55:31,404,34.1512,-118.1461,0
219,08/29/18,11:56:26,402,34.147732,-118.08192,180
220,08/29/18,11:56:55,405,34.10035,-118.204842,0
221,08/29/18,11:56:55,451,34.082787,-118.217915,180
222,08/29/18,11:56:47,403,34.136919,-117.891003,0
223,08/29/18,11:56:55,454,34.134476,-118.008223,0
224,08/29/18,11:56:26,408,34.033406,-118.155974,0
225,08/29/18,11:56:47,409,34.033386,-118.180208,180
226,08/29/18,11:59:48,406,34.070755,-118.228575,0
227,08/29/18,11:59:48,401,34.051622,-118.23786,180
228,08/29/18,11:59:57,407,34.047634,-118.22594,0
