id,query_time,seconds_since_report,vehicle_id,lat,lon,direction
1,1535514480,15,406,34.047232,-118.219914,180.0
2,1535514480,7,401,34.132482,-117.976834,180.0
3,1535514480,7,407,34.070755,-118.228575,180.0
4,1535514480,47,452,34.133057,-118.003055,0.0
5,1535514480,7,404,34.033319,-118.168064,0.0
6,1535514480,7,453,34.122556,-118.150731,0.0
7,1535514480,15,402,34.152417,-118.114348,0.0
8,1535514480,15,405,34.033399,-118.158475,180.0
9,1535514480,165,451,34.136919,-117.891003,0.0
10,1535514480,26,403,34.087263,-118.213191,0.0
11,1535514480,15,454,34.047772,-118.227849,0.0
12,1535514480,7,408,34.117204,-118.155258,180.0
13,1535514480,26,409,34.152417,-118.114348,180.0
14,1535514660,1,406,34.0355739,-118.192258,180.0
15,1535514660,8,401,34.140337,-118.02527,180.0
16,1535514660,8,407,34.057452,-118.23442,180.0
17,1535514660,1,452,34.13255,-117.966573,0.0
18,1535514660,8,404,34.033783,-118.192167,0.0
19,1535514660,8,453,34.140317,-118.14815,0.0
20,1535514660,8,402,34.14792,-118.077657,0.0
21,1535514660,161,405,34.033395,-118.154466,180.0
22,1535514660,20,451,34.135809,-117.906884,180.0
23,1535514660,20,403,34.108683,-118.197602,0.0
24,1535514660,32,454,34.051622,-118.23786,0.0
25,1535514660,8,408,34.109986,-118.194955,180.0
26,1535514660,32,409,34.151833,-118.135717,180.0
27,1535514840,44,406,34.03326,-118.191311,180.0
28,1535514840,29,401,34.148826,-118.053351,180.0
29,1535514840,6,421,34.1340689,-118.006742,180.0
30,1535514840,29,407,34.0501,-118.237901,180.0
31,1535514840,6,452,34.12906,-117.932574,0.0
32,1535514840,29,404,34.042898,-118.207917,0.0
33,1535514840,6,453,34.15201,-118.1258,0.0
34,1535514840,6,402,34.142982,-118.029333,0.0
35,1535514840,113,425,34.132444,-117.988407,0.0
36,1535514840,6,451,34.128776,-117.934911,180.0
37,1535514840,6,403,34.110199,-118.181873,0.0
38,1535514840,29,454,34.057452,-118.23442,0.0
39,1535514840,6,408,34.10488,-118.203911,180.0
40,1535514840,82,422,34.132446,-117.991148,180.0
41,1535514840,6,409,34.140548,-118.148183,180.0
42,1535515020,44,406,34.03326,-118.191311,180.0
43,1535515020,29,401,34.148826,-118.053351,180.0
44,1535515020,6,421,34.1340689,-118.006742,180.0
45,1535515020,29,407,34.0501,-118.237901,180.0
46,1535515020,6,452,34.12906,-117.932574,0.0
47,1535515020,29,404,34.042898,-118.207917,0.0
48,1535515020,6,453,34.15201,-118.1258,0.0
49,1535515020,6,402,34.142982,-118.029333,0.0
50,1535515020,113,425,34.132444,-117.988407,0.0
51,1535515020,6,451,34.128776,-117.934911,180.0
52,1535515020,6,403,34.110199,-118.181873,0.0
53,1535515020,29,454,34.057452,-118.23442,0.0
54,1535515020,6,408,34.10488,-118.203911,180.0
55,1535515020,82,422,34.132446,-117.991148,180.0
56,1535515020,6,409,34.140548,-118.148183,180.0
57,1535515200,29,406,34.033368,-118.160931,180.0
58,1535515200,78,401,34.152417,-118.114348,180.0
59,1535515200,9,421,34.147732,-118.08192,180.0
60,1535515200,15,407,34.044427,-118.211701,180.0
61,1535515200,78,452,34.136919,-117.891003,0.0
62,1535515200,9,404,34.048083,-118.231104,0.0
63,1535515200,9,453,34.148369,-118.073431,0.0
64,1535515200,15,402,34.132544,-117.968079,0.0
65,1535515200,15,405,34.03332,-118.183483,0.0
66,1535515200,29,451,34.133057,-118.003055,180.0
67,1535515200,9,403,34.134223,-118.148138,0.0
68,1535515200,9,454,34.084717,-118.215797,0.0
69,1535515200,9,408,34.068632,-118.233044,180.0
70,1535515200,9,409,34.109958,-118.180223,180.0
71,1535515380,88,406,34.033395,-118.154466,180.0
72,1535515380,16,401,34.151833,-118.135717,180.0
73,1535515380,38,421,34.152417,-118.114348,180.0
74,1535515380,4,407,34.035243,-118.19222,180.0
75,1535515380,258,452,34.136919,-117.891003,0.0
76,1535515380,16,404,34.053441,-118.235998,0.0
77,1535515380,45,453,34.142982,-118.029333,0.0
78,1535515380,16,402,34.128936,-117.933582,0.0
79,1535515380,66,405,34.034751,-118.192189,0.0
80,1535515380,4,451,34.144324,-118.031431,180.0
81,1535515380,38,403,34.140317,-118.14815,0.0
82,1535515380,4,454,34.0987,-118.205991,0.0
83,1535515380,16,408,34.057452,-118.23442,180.0
84,1535515380,57,409,34.108683,-118.197602,180.0
85,1535515560,268,406,34.033395,-118.154466,180.0
86,1535515560,23,401,34.140317,-118.14815,180.0
87,1535515560,61,421,34.151845,-118.132701,180.0
88,1535515560,4,407,34.033386,-118.180208,180.0
89,1535515560,17,452,34.13477,-117.910129,180.0
90,1535515560,4,404,34.05915,-118.2335,0.0
91,1535515560,4,453,34.132375,-117.998302,0.0
92,1535515560,23,402,34.136014,-117.906198,0.0
